                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.493,                 4.2373,                 1.5514,                0.00903,                0.21149,                0.01309,                0.00592,                 2.2711,                 4.0867,                 1.7544,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.5316,                 3.3257,                 1.4411,                0.24972,                0.06667,                0.05148,                0.01737,                 2.3473,                 3.6892,                 1.8655,                9.9e-05,                9.9e-05,                9.9e-05
                      3,                 1.3338,                 2.3088,                 1.3859,                0.05982,                0.24471,                0.07892,                0.03704,                 2.3563,                 3.9115,                 1.9163,             0.00015246,             0.00015246,             0.00015246
                      4,                 1.5184,                 1.8734,                 1.3324,                0.16376,                0.24382,                0.13412,                0.06631,                  2.253,                 3.4568,                  1.838,             0.00020482,             0.00020482,             0.00020482
                      5,                 1.3879,                 1.5564,                 1.3849,                0.27431,                0.37943,                0.22383,                 0.1177,                 2.0322,                 3.6396,                  1.692,             0.00025608,             0.00025608,             0.00025608
                      6,                 1.3887,                 1.3966,                 1.1928,                0.35446,                0.31039,                0.29663,                0.14809,                 2.1434,                 3.1755,                 1.6961,             0.00030624,             0.00030624,             0.00030624
                      7,                 1.2226,                 1.4087,                 1.1764,                0.28326,                0.39349,                0.26084,                  0.152,                 2.0101,                 2.9375,                 1.6492,              0.0003553,              0.0003553,              0.0003553
                      8,                   1.28,                 1.3541,                 1.2309,                0.35629,                0.30384,                0.29873,                0.17382,                 1.9081,                  3.705,                 1.6491,             0.00040326,             0.00040326,             0.00040326
                      9,                 1.4193,                 1.3135,                 1.2713,                0.35131,                0.31257,                0.25227,                0.14768,                 2.0128,                 3.0837,                 1.7744,             0.00045012,             0.00045012,             0.00045012
                     10,                 1.4723,                 1.9707,                 1.4766,                0.36043,                0.37595,                0.30528,                 0.1619,                 2.1504,                 2.5833,                 1.9033,             0.00049588,             0.00049588,             0.00049588
                     11,                 1.3927,                  1.344,                  1.301,                0.29041,                0.40658,                0.29069,                0.15516,                  2.095,                 3.6315,                 1.8541,             0.00054055,             0.00054055,             0.00054055
                     12,                 1.4603,                  1.402,                 1.5419,                0.37478,                0.34566,                0.29178,                0.14699,                 2.1394,                 2.6199,                  1.867,             0.00058411,             0.00058411,             0.00058411
                     13,                 1.1234,                 1.2377,                 1.1813,                0.24907,                0.36603,                0.21847,                0.11341,                 2.1993,                 3.5217,                 1.8438,             0.00062657,             0.00062657,             0.00062657
                     14,                  1.407,                 1.3415,                 1.2715,                0.29206,                 0.3616,                0.21973,                0.12027,                 2.1216,                 3.3925,                 1.7838,             0.00066793,             0.00066793,             0.00066793
                     15,                 1.4562,                 1.2577,                 1.2464,                0.37319,                 0.2564,                0.24235,                0.11735,                 2.2394,                 3.0048,                 1.8046,             0.00070819,             0.00070819,             0.00070819
                     16,                  1.474,                 1.3428,                 1.2758,                0.20927,                0.32056,                0.20647,                0.10312,                 2.2248,                  3.218,                 1.9947,             0.00074735,             0.00074735,             0.00074735
                     17,                 1.1803,                  1.159,                 1.2194,                0.20438,                0.15792,                0.10673,                0.05529,                  2.526,                 3.9572,                 2.2219,             0.00078541,             0.00078541,             0.00078541
                     18,                  1.377,                 1.2463,                 1.2893,                0.19956,                0.14944,                0.12292,                0.06949,                 2.2902,                 3.8882,                 2.1182,             0.00082238,             0.00082238,             0.00082238
                     19,                 1.1798,                 1.1262,                 1.2118,                 0.2194,                0.18904,                0.18675,                0.08413,                 2.5242,                 3.5558,                 2.2338,             0.00085824,             0.00085824,             0.00085824
                     20,                 1.3243,                 1.4064,                 1.2697,                0.28686,                0.24639,                0.22247,                0.12478,                 2.2536,                   3.28,                 2.0595,               0.000893,               0.000893,               0.000893
