                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9264,                 4.1163,                  1.468,                0.05892,                0.67179,                0.09168,                0.05874,                 1.6147,                 2.8897,                 1.2416,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.8162,                 3.4214,                 1.4321,                0.35462,                0.22821,                0.23108,                0.15173,                 1.5261,                 2.3256,                 1.1762,                9.9e-05,                9.9e-05,                9.9e-05
                      3,                 1.7573,                 2.3093,                 1.3814,                0.15044,                0.49786,                0.29466,                0.19467,                 1.5055,                 2.0624,                 1.1619,             0.00015246,             0.00015246,             0.00015246
                      4,                 1.7264,                 1.8239,                 1.3641,                0.46453,                0.44308,                0.39777,                0.25064,                 1.5804,                 1.8046,                 1.1639,             0.00020482,             0.00020482,             0.00020482
                      5,                 1.7451,                 1.8489,                 1.4059,                0.33225,                0.49788,                0.38755,                 0.2309,                 1.5391,                 1.8368,                 1.1655,             0.00025608,             0.00025608,             0.00025608
                      6,                 1.6588,                 1.5419,                 1.2745,                0.32731,                0.54578,                0.46323,                0.27421,                 1.5373,                 2.0947,                 1.1788,             0.00030624,             0.00030624,             0.00030624
                      7,                 1.5931,                 1.5107,                 1.2183,                  0.569,                0.58185,                0.56681,                0.32342,                 1.5478,                 1.8928,                 1.1834,              0.0003553,              0.0003553,              0.0003553
                      8,                 1.5932,                 1.5245,                 1.2465,                0.67827,                0.55566,                0.67093,                 0.3667,                 1.5641,                 1.5051,                 1.1938,             0.00040326,             0.00040326,             0.00040326
                      9,                 1.5035,                   1.49,                 1.2072,                0.66024,                0.58343,                0.64934,                0.40177,                 1.5301,                 1.3732,                 1.2006,             0.00045012,             0.00045012,             0.00045012
                     10,                 1.5521,                 1.4303,                 1.2264,                0.69986,                0.59314,                0.67539,                0.42378,                 1.5658,                 1.2626,                 1.2186,             0.00049588,             0.00049588,             0.00049588
                     11,                 1.4853,                 1.3248,                 1.2089,                0.80734,                0.61323,                0.78659,                0.43873,                 1.5308,                 1.3938,                 1.1827,             0.00054055,             0.00054055,             0.00054055
                     12,                  1.443,                 1.2395,                 1.2039,                 0.7676,                0.66368,                0.76078,                0.43853,                 1.5331,                   1.56,                 1.1777,             0.00058411,             0.00058411,             0.00058411
                     13,                 1.5387,                 1.4039,                 1.2789,                 0.7676,                0.66368,                0.76078,                0.43853,                 1.5331,                   1.56,                 1.1777,             0.00062657,             0.00062657,             0.00062657
                     14,                 1.5705,                  1.255,                 1.2272,                0.61391,                0.70256,                0.67732,                0.37621,                 1.5603,                 1.5733,                 1.1862,             0.00066793,             0.00066793,             0.00066793
                     15,                 1.5141,                 1.2733,                 1.2107,                0.38756,                0.68166,                0.49319,                0.29324,                  1.587,                 2.0856,                 1.1915,             0.00070819,             0.00070819,             0.00070819
                     16,                 1.4513,                 1.2664,                 1.2116,                0.38756,                0.68166,                0.49319,                0.29324,                  1.587,                 2.0856,                 1.1915,             0.00074735,             0.00074735,             0.00074735
                     17,                 1.4532,                  1.235,                 1.1755,                0.39067,                0.64403,                0.52813,                 0.2748,                 1.6074,                 2.0475,                 1.1978,             0.00078541,             0.00078541,             0.00078541
                     18,                 1.4684,                 1.2661,                 1.2917,                0.39067,                0.64403,                0.52813,                 0.2748,                 1.6074,                 2.0475,                 1.1978,             0.00082238,             0.00082238,             0.00082238
                     19,                 1.4097,                 1.0834,                 1.1817,                0.86362,                0.50471,                0.61122,                0.35594,                  1.542,                 1.3797,                 1.1869,             0.00085824,             0.00085824,             0.00085824
                     20,                 1.3807,                 1.1394,                 1.1768,                0.86362,                0.50471,                0.61122,                0.35594,                  1.542,                 1.3797,                 1.1869,               0.000893,               0.000893,               0.000893
                     21,                 1.3799,                 1.1795,                 1.1983,                0.60614,                0.54485,                0.66606,                0.36634,                 1.6042,                 1.3009,                 1.2096,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.4481,                 1.1722,                 1.1677,                0.60614,                0.54485,                0.66606,                0.36634,                 1.6042,                 1.3009,                 1.2096,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.3333,                 1.0503,                 1.1762,                0.60614,                0.54485,                0.66606,                0.36634,                 1.6042,                 1.3009,                 1.2096,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.3667,                 1.0898,                 1.1631,                0.50215,                 0.8235,                0.69596,                0.41886,                 1.5336,                  1.248,                 1.1757,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.4585,                 1.1566,                 1.1642,                0.50215,                 0.8235,                0.69596,                0.41886,                 1.5336,                  1.248,                 1.1757,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.3892,                 1.0398,                 1.1246,                0.67454,                0.63897,                0.73096,                0.44712,                  1.541,                 1.2157,                 1.1581,             0.00083603,             0.00083603,             0.00083603
                     27,                  1.408,                  1.039,                  1.167,                0.67454,                0.63897,                0.73096,                0.44712,                  1.541,                 1.2157,                 1.1581,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.4266,                 1.0599,                 1.1517,                0.59603,                0.74582,                0.73752,                0.47314,                 1.5375,                 1.1344,                 1.1661,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.2784,                0.96694,                 1.1217,                0.59603,                0.74582,                0.73752,                0.47314,                 1.5375,                 1.1344,                 1.1661,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.3701,                0.97504,                 1.1433,                0.56843,                0.78462,                0.74762,                0.44466,                 1.5453,                 1.1073,                 1.1859,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.2995,                0.93063,                  1.111,                0.56843,                0.78462,                0.74762,                0.44466,                 1.5453,                 1.1073,                 1.1859,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.2768,                0.95216,                  1.119,                0.52594,                0.76227,                0.72393,                0.39918,                 1.6062,                 1.1537,                 1.2448,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.3249,                0.97391,                 1.1045,                0.52594,                0.76227,                0.72393,                0.39918,                 1.6062,                 1.1537,                 1.2448,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.2809,                0.91855,                 1.1103,                0.52594,                0.76227,                0.72393,                0.39918,                 1.6062,                 1.1537,                 1.2448,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.3764,                 1.0158,                 1.1575,                0.51995,                 0.6715,                0.69787,                0.39946,                 1.6108,                 1.2117,                 1.2509,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.2756,                0.96655,                 1.1261,                0.51995,                 0.6715,                0.69787,                0.39946,                 1.6108,                 1.2117,                 1.2509,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.2347,                0.90814,                 1.1334,                0.59347,                0.67839,                0.74567,                0.42992,                 1.6118,                 1.1702,                 1.2493,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.1901,                0.87591,                 1.0802,                0.59347,                0.67839,                0.74567,                0.42992,                 1.6118,                 1.1702,                 1.2493,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.2922,                 0.9648,                 1.1246,                0.71629,                0.71655,                0.79229,                0.45536,                 1.5847,                 1.0517,                 1.2255,             0.00069304,             0.00069304,             0.00069304
                     40,                  1.222,                0.87706,                 1.0931,                0.71629,                0.71655,                0.79229,                0.45536,                 1.5847,                 1.0517,                 1.2255,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.2668,                0.86275,                 1.0927,                0.74721,                0.77975,                0.81938,                0.48144,                 1.5725,                 1.0057,                 1.2114,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.1831,                0.91429,                 1.1116,                0.74721,                0.77975,                0.81938,                0.48144,                 1.5725,                 1.0057,                 1.2114,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.3114,                 1.0654,                  1.178,                 0.6518,                0.83231,                0.81377,                0.46515,                 1.5859,                0.99813,                 1.2185,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.1854,                0.90578,                 1.0777,                 0.6518,                0.83231,                0.81377,                0.46515,                 1.5859,                0.99813,                 1.2185,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.2515,                0.88213,                 1.0997,                 0.6518,                0.83231,                0.81377,                0.46515,                 1.5859,                0.99813,                 1.2185,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.1928,                0.84042,                  1.082,                0.82946,                0.69299,                0.81555,                0.47084,                 1.5586,                 0.9798,                 1.2279,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.1915,                0.90541,                 1.1021,                0.82946,                0.69299,                0.81555,                0.47084,                 1.5586,                 0.9798,                 1.2279,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.2092,                0.83617,                 1.0958,                0.77761,                  0.676,                0.81604,                0.47538,                 1.5145,                0.97906,                 1.2169,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.1493,                0.79028,                 1.0595,                0.77761,                  0.676,                0.81604,                0.47538,                 1.5145,                0.97906,                 1.2169,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.1824,                0.79372,                 1.0887,                0.81897,                0.76959,                0.86509,                0.47617,                 1.5429,                0.98373,                 1.2282,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.1182,                0.75082,                 1.0346,                0.81897,                0.76959,                0.86509,                0.47617,                 1.5429,                0.98373,                 1.2282,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.1545,                  0.793,                 1.0494,                0.70137,                 0.8281,                 0.8496,                 0.4752,                 1.5528,                0.98376,                 1.2244,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.0294,                0.73208,                  1.034,                0.70137,                 0.8281,                 0.8496,                 0.4752,                 1.5528,                0.98376,                 1.2244,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.1225,                0.78914,                 1.0568,                0.51757,                0.85537,                0.81586,                0.46759,                 1.5082,                 1.0031,                 1.1761,             0.00052806,             0.00052806,             0.00052806
